window_start,window_time
400,2020-06-21 03:17:00
406,2020-06-21 04:17:00
412,2020-06-21 05:17:00
418,2020-06-21 06:17:00
424,2020-06-21 07:17:00
430,2020-06-21 08:17:00
436,2020-06-21 09:17:00
442,2020-06-21 10:17:00
448,2020-06-21 11:17:00
454,2020-06-21 12:17:00
460,2020-06-21 13:17:00
466,2020-06-21 14:17:00
472,2020-06-21 15:17:00
478,2020-06-21 16:17:00
484,2020-06-21 17:17:00
490,2020-06-21 18:17:00
496,2020-06-21 19:17:00
502,2020-06-21 20:17:00
508,2020-06-21 21:17:00
514,2020-06-21 22:17:00
520,2020-06-21 23:17:00
526,2020-06-22 00:17:00
532,2020-06-22 01:17:00
538,2020-06-22 02:17:00
544,2020-06-22 03:17:00
550,2020-06-22 04:17:00
556,2020-06-22 05:17:00
562,2020-06-22 06:17:00
568,2020-06-22 07:17:00
574,2020-06-22 08:17:00
580,2020-06-22 09:17:00
586,2020-06-22 10:17:00
592,2020-06-22 11:17:00
598,2020-06-22 12:17:00
604,2020-06-22 13:17:00
610,2020-06-22 14:17:00
616,2020-06-22 15:17:00
622,2020-06-22 16:17:00
628,2020-06-22 17:17:00
634,2020-06-22 18:17:00
640,2020-06-22 19:17:00
646,2020-06-22 20:17:00
652,2020-06-22 21:17:00
658,2020-06-22 22:17:00
664,2020-06-22 23:17:00
670,2020-06-23 00:17:00
676,2020-06-23 01:17:00
682,2020-06-23 02:17:00
688,2020-06-23 03:17:00
694,2020-06-23 04:17:00
700,2020-06-23 05:17:00
706,2020-06-23 06:17:00
712,2020-06-23 07:17:00
718,2020-06-23 08:17:00
724,2020-06-23 09:17:00
730,2020-06-23 10:17:00
736,2020-06-23 11:17:00
742,2020-06-23 12:17:00
748,2020-06-23 13:17:00
754,2020-06-23 14:17:00
760,2020-06-23 15:17:00
766,2020-06-23 16:17:00
772,2020-06-23 17:17:00
778,2020-06-23 18:17:00
784,2020-06-23 19:17:00
790,2020-06-23 20:17:00
796,2020-06-23 21:17:00
802,2020-06-23 22:17:00
808,2020-06-23 23:17:00
814,2020-06-24 00:17:00
820,2020-06-24 01:17:00
826,2020-06-24 02:17:00
832,2020-06-24 03:17:00
838,2020-06-24 04:17:00
844,2020-06-24 05:17:00
850,2020-06-24 06:17:00
856,2020-06-24 07:17:00
862,2020-06-24 08:17:00
868,2020-06-24 09:17:00
874,2020-06-24 10:17:00
880,2020-06-24 11:17:00
886,2020-06-24 12:17:00
892,2020-06-24 13:17:00
898,2020-06-24 14:17:00
904,2020-06-24 15:17:00
910,2020-06-24 16:17:00
916,2020-06-24 17:17:00
922,2020-06-24 18:17:00
928,2020-06-24 19:17:00
934,2020-06-24 20:17:00
940,2020-06-24 21:17:00
946,2020-06-24 22:17:00
952,2020-06-24 23:17:00
958,2020-06-25 00:17:00
964,2020-06-25 01:17:00
970,2020-06-25 02:17:00
976,2020-06-25 03:17:00
982,2020-06-25 04:17:00
988,2020-06-25 05:17:00
994,2020-06-25 06:17:00
1000,2020-06-25 07:17:00
1006,2020-06-25 08:17:00
1012,2020-06-25 09:17:00
1018,2020-06-25 10:17:00
1024,2020-06-25 11:17:00
1030,2020-06-25 12:17:00
1036,2020-06-25 13:17:00
1042,2020-06-25 14:17:00
1048,2020-06-25 15:17:00
1054,2020-06-25 16:17:00
1060,2020-06-25 17:17:00
1066,2020-06-25 18:17:00
1072,2020-06-25 19:17:00
1078,2020-06-25 20:17:00
1084,2020-06-25 21:17:00
1090,2020-06-25 22:17:00
1096,2020-06-25 23:17:00
1102,2020-06-26 00:17:00
1108,2020-06-26 01:17:00
1114,2020-06-26 02:17:00
1120,2020-06-26 03:17:00
1126,2020-06-26 04:17:00
1132,2020-06-26 05:17:00
1138,2020-06-26 06:17:00
1144,2020-06-26 07:17:00
1150,2020-06-26 08:17:00
1156,2020-06-26 09:17:00
1162,2020-06-26 10:17:00
1168,2020-06-26 11:17:00
1174,2020-06-26 12:17:00
1180,2020-06-26 13:17:00
1186,2020-06-26 14:17:00
1192,2020-06-26 15:17:00
1198,2020-06-26 16:17:00
1204,2020-06-26 17:17:00
1210,2020-06-26 18:17:00
1216,2020-06-26 19:17:00
1222,2020-06-26 20:17:00
1228,2020-06-26 21:17:00
1234,2020-06-26 22:17:00
1240,2020-06-26 23:17:00
1246,2020-06-27 00:17:00
1252,2020-06-27 01:17:00
1258,2020-06-27 02:17:00
1264,2020-06-27 03:17:00
1270,2020-06-27 04:17:00
1276,2020-06-27 05:17:00
1282,2020-06-27 06:17:00
1288,2020-06-27 07:17:00
1294,2020-06-27 08:17:00
1300,2020-06-27 09:17:00
1306,2020-06-27 10:17:00
1312,2020-06-27 11:17:00
1318,2020-06-27 12:17:00
1324,2020-06-27 13:17:00
1330,2020-06-27 14:17:00
1336,2020-06-27 15:17:00
1342,2020-06-27 16:17:00
1348,2020-06-27 17:17:00
1354,2020-06-27 18:17:00
1360,2020-06-27 19:17:00
1366,2020-06-27 20:17:00
1372,2020-06-27 21:17:00
1378,2020-06-27 22:17:00
1384,2020-06-27 23:17:00
1390,2020-06-28 00:17:00
1396,2020-06-28 01:17:00
1402,2020-06-28 02:17:00
1408,2020-06-28 03:17:00
1414,2020-06-28 04:17:00
1420,2020-06-28 05:17:00
1426,2020-06-28 06:17:00
1432,2020-06-28 07:17:00
1438,2020-06-28 08:17:00
1444,2020-06-28 09:17:00
1450,2020-06-28 10:17:00
1456,2020-06-28 11:17:00
1462,2020-06-28 12:17:00
1468,2020-06-28 13:17:00
1474,2020-06-28 14:17:00
1480,2020-06-28 15:17:00
1486,2020-06-28 16:17:00
1492,2020-06-28 17:17:00
1498,2020-06-28 18:17:00
1504,2020-06-28 19:17:00
