hamster_id,safe_hamster_id,cold_start,cold_start_source,onset_time,hibernation_time_from_run,hamster_dir
#1,h1,2015-06-05 00:00:00,csv,2015-08-02 10:01:01,,/home/leedaso5/projects/IBS/data/low_hamsters_interp_shingo_pred_260617/h1
#2,h2,2015-06-05 00:00:00,csv,2015-07-24 11:37:01,,/home/leedaso5/projects/IBS/data/low_hamsters_interp_shingo_pred_260617/h2
#3,h3,2015-06-05 00:00:00,csv,2015-09-14 16:13:00,,/home/leedaso5/projects/IBS/data/low_hamsters_interp_shingo_pred_260617/h3
#4,h4,2015-06-05 00:00:00,csv,2015-08-17 09:57:01,,/home/leedaso5/projects/IBS/data/low_hamsters_interp_shingo_pred_260617/h4
#5,h5,2015-08-27 00:00:00,csv,2015-11-24 13:36:00,,/home/leedaso5/projects/IBS/data/low_hamsters_interp_shingo_pred_260617/h5
#6,h6,2015-08-27 00:00:00,csv,2015-12-01 13:18:01,,/home/leedaso5/projects/IBS/data/low_hamsters_interp_shingo_pred_260617/h6
#7,h7,2015-06-05 00:00:00,csv,2015-09-11 10:07:00,,/home/leedaso5/projects/IBS/data/low_hamsters_interp_shingo_pred_260617/h7
#8,h8,2015-06-05 00:00:00,csv,2015-08-02 11:39:00,,/home/leedaso5/projects/IBS/data/low_hamsters_interp_shingo_pred_260617/h8
#9,h9,2015-06-05 00:00:00,csv,2015-08-12 12:55:00,,/home/leedaso5/projects/IBS/data/low_hamsters_interp_shingo_pred_260617/h9
#10,h10,2015-06-05 00:00:00,csv,2015-08-13 13:10:00,,/home/leedaso5/projects/IBS/data/low_hamsters_interp_shingo_pred_260617/h10
#11,h11,2015-06-05 00:00:00,csv,2015-08-05 11:36:01,,/home/leedaso5/projects/IBS/data/low_hamsters_interp_shingo_pred_260617/h11
#12,h12,2014-06-14 00:00:00,csv,2014-09-19 13:37:01,,/home/leedaso5/projects/IBS/data/low_hamsters_interp_shingo_pred_260617/h12
#13,h13,2014-06-14 00:00:00,csv,2014-09-14 10:52:01,,/home/leedaso5/projects/IBS/data/low_hamsters_interp_shingo_pred_260617/h13
#14,h14,2020-08-04 18:00:00,fallback_known_high_cohort,2020-09-21 08:33:00,,/home/leedaso5/projects/IBS/data/low_hamsters_interp_shingo_pred_260617/h14
#15,h15,2020-08-04 18:00:00,fallback_known_high_cohort,2020-10-24 07:07:00,,/home/leedaso5/projects/IBS/data/low_hamsters_interp_shingo_pred_260617/h15
#16,h16,2020-06-25 18:00:00,fallback_known_high_cohort,2020-08-15 11:38:00,,/home/leedaso5/projects/IBS/data/low_hamsters_interp_shingo_pred_260617/h16
#17,h17,2020-06-18 18:00:00,fallback_known_high_cohort,2020-09-03 10:32:00,,/home/leedaso5/projects/IBS/data/low_hamsters_interp_shingo_pred_260617/h17
#18,h18,2020-06-18 18:00:00,fallback_known_high_cohort,2020-09-01 15:09:00,,/home/leedaso5/projects/IBS/data/low_hamsters_interp_shingo_pred_260617/h18
#19,h19,2020-06-25 18:00:00,fallback_known_high_cohort,2020-09-02 12:02:00,,/home/leedaso5/projects/IBS/data/low_hamsters_interp_shingo_pred_260617/h19
#20,h20,2020-06-25 18:00:00,fallback_known_high_cohort,2020-09-15 11:47:00,,/home/leedaso5/projects/IBS/data/low_hamsters_interp_shingo_pred_260617/h20
#21,h21,2020-06-25 18:00:00,fallback_known_high_cohort,2020-09-21 12:13:00,,/home/leedaso5/projects/IBS/data/low_hamsters_interp_shingo_pred_260617/h21
#22,h22,2020-10-15 18:00:00,fallback_known_high_cohort,2021-01-02 12:41:00,,/home/leedaso5/projects/IBS/data/low_hamsters_interp_shingo_pred_260617/h22
#23,h23,2020-10-15 18:00:00,fallback_known_high_cohort,2020-12-27 07:38:00,,/home/leedaso5/projects/IBS/data/low_hamsters_interp_shingo_pred_260617/h23
#24,h24,2020-10-15 18:00:00,fallback_known_high_cohort,2020-11-29 11:13:00,,/home/leedaso5/projects/IBS/data/low_hamsters_interp_shingo_pred_260617/h24
#25,h25,2020-10-15 18:00:00,fallback_known_high_cohort,2020-11-27 12:41:00,,/home/leedaso5/projects/IBS/data/low_hamsters_interp_shingo_pred_260617/h25
