Hamster_ID,Time,Value
#14,2020.7.29 14:33,37.25
#14,2020.7.29 14:43,37.188
#14,2020.7.29 14:53,37.125
#14,2020.7.29 15:03,37.062
#14,2020.7.29 15:13,37.125
#14,2020.7.29 15:23,37.125
#14,2020.7.29 15:33,37.375
#14,2020.7.29 15:43,37.312
#14,2020.7.29 15:53,37.188
#14,2020.7.29 16:03,37.125
#14,2020.7.29 16:13,37.062
#14,2020.7.29 16:23,37.0
#14,2020.7.29 16:33,37.25
#14,2020.7.29 16:43,37.188
#14,2020.7.29 16:53,37.188
#14,2020.7.29 17:03,37.25
#14,2020.7.29 17:13,37.125
#14,2020.7.29 17:23,36.875
#14,2020.7.29 17:33,37.0
#14,2020.7.29 17:43,37.125
#14,2020.7.29 17:53,37.0
#14,2020.7.29 18:03,37.625
#14,2020.7.29 18:13,37.438
#14,2020.7.29 18:23,37.438
#14,2020.7.29 18:33,37.25
#14,2020.7.29 18:43,37.188
#14,2020.7.29 18:53,37.062
#14,2020.7.29 19:03,37.25
#14,2020.7.29 19:13,37.062
#14,2020.7.29 19:23,37.0
#14,2020.7.29 19:33,37.625
#14,2020.7.29 19:43,37.625
#14,2020.7.29 19:53,37.625
#14,2020.7.29 20:03,37.688
#14,2020.7.29 20:13,37.688
#14,2020.7.29 20:23,37.938
#14,2020.7.29 20:33,38.062
#14,2020.7.29 20:43,38.125
#14,2020.7.29 20:53,38.312
#14,2020.7.29 21:03,38.25
#14,2020.7.29 21:13,38.125
#14,2020.7.29 21:23,38.0
#14,2020.7.29 21:33,37.812
#14,2020.7.29 21:43,37.938
#14,2020.7.29 21:53,37.625
#14,2020.7.29 22:03,37.75
#14,2020.7.29 22:13,37.75
#14,2020.7.29 22:23,37.625
#14,2020.7.29 22:33,37.562
#14,2020.7.29 22:43,37.562
#14,2020.7.29 22:53,37.625
#14,2020.7.29 23:03,37.562
#14,2020.7.29 23:13,37.875
#14,2020.7.29 23:23,37.875
#14,2020.7.29 23:33,37.75
#14,2020.7.29 23:43,37.875
#14,2020.7.29 23:53,37.875
#14,2020.7.30 0:03,37.812
#14,2020.7.30 0:13,37.938
#14,2020.7.30 0:23,37.375
#14,2020.7.30 0:33,37.562
#14,2020.7.30 0:43,37.812
#14,2020.7.30 0:53,37.688
#14,2020.7.30 1:03,37.625
#14,2020.7.30 1:13,37.688
#14,2020.7.30 1:23,37.688
#14,2020.7.30 1:33,37.875
#14,2020.7.30 1:43,38.188
#14,2020.7.30 1:53,38.062
#14,2020.7.30 2:03,37.938
#14,2020.7.30 2:13,37.812
#14,2020.7.30 2:23,37.75
#14,2020.7.30 2:33,37.75
#14,2020.7.30 2:43,37.875
#14,2020.7.30 2:53,37.688
#14,2020.7.30 3:03,37.812
#14,2020.7.30 3:13,37.938
#14,2020.7.30 3:23,37.938
#14,2020.7.30 3:33,37.938
#14,2020.7.30 3:43,37.875
#14,2020.7.30 3:53,38.062
#14,2020.7.30 4:03,38.062
#14,2020.7.30 4:13,37.875
#14,2020.7.30 4:23,37.75
#14,2020.7.30 4:33,37.562
#14,2020.7.30 4:43,37.5
#14,2020.7.30 4:53,37.375
#14,2020.7.30 5:03,37.625
#14,2020.7.30 5:13,37.688
#14,2020.7.30 5:23,37.875
#14,2020.7.30 5:33,37.625
#14,2020.7.30 5:43,37.75
#14,2020.7.30 5:53,37.812
#14,2020.7.30 6:03,37.75
#14,2020.7.30 6:13,37.625
#14,2020.7.30 6:23,37.562
#14,2020.7.30 6:33,37.438
#14,2020.7.30 6:43,37.312
#14,2020.7.30 6:53,37.188
#14,2020.7.30 7:03,37.125
#14,2020.7.30 7:13,37.0
#14,2020.7.30 7:23,37.0
#14,2020.7.30 7:33,36.75
#14,2020.7.30 7:43,37.312
#14,2020.7.30 7:53,37.188
#14,2020.7.30 8:03,37.062
#14,2020.7.30 8:13,36.938
#14,2020.7.30 8:23,36.75
#14,2020.7.30 8:33,37.062
#14,2020.7.30 8:43,37.25
#14,2020.7.30 8:53,37.125
#14,2020.7.30 9:03,37.375
#14,2020.7.30 9:13,37.375
#14,2020.7.30 9:23,37.25
#14,2020.7.30 9:33,37.25
#14,2020.7.30 9:43,37.125
#14,2020.7.30 9:53,37.062
#14,2020.7.30 10:03,37.125
#14,2020.7.30 10:13,37.062
#14,2020.7.30 10:23,37.062
#14,2020.7.30 10:33,37.125
#14,2020.7.30 10:43,37.25
#14,2020.7.30 10:53,37.188
#14,2020.7.30 11:03,37.062
#14,2020.7.30 11:13,37.062
#14,2020.7.30 11:23,37.0
#14,2020.7.30 11:33,36.938
#14,2020.7.30 11:43,37.062
#14,2020.7.30 11:53,37.125
#14,2020.7.30 12:03,37.062
#14,2020.7.30 12:13,36.938
#14,2020.7.30 12:23,37.125
#14,2020.7.30 12:33,37.0
#14,2020.7.30 12:43,36.812
#14,2020.7.30 12:53,37.188
#14,2020.7.30 13:03,37.062
#14,2020.7.30 13:13,37.188
#14,2020.7.30 13:23,37.25
#14,2020.7.30 13:33,37.25
#14,2020.7.30 13:43,37.125
#14,2020.7.30 13:53,37.25
#14,2020.7.30 14:03,37.188
#14,2020.7.30 14:13,37.125
#14,2020.7.30 14:23,37.312
#14,2020.7.30 14:33,37.375
#14,2020.7.30 14:43,37.375
#14,2020.7.30 14:53,37.5
#14,2020.7.30 15:03,37.188
#14,2020.7.30 15:13,37.125
#14,2020.7.30 15:23,37.0
#14,2020.7.30 15:33,37.188
#14,2020.7.30 15:43,37.188
#14,2020.7.30 15:53,37.375
#14,2020.7.30 16:03,37.438
#14,2020.7.30 16:13,37.312
#14,2020.7.30 16:23,37.312
#14,2020.7.30 16:33,37.25
#14,2020.7.30 16:43,37.25
#14,2020.7.30 16:53,37.25
#14,2020.7.30 17:03,37.312
#14,2020.7.30 17:13,37.25
#14,2020.7.30 17:23,37.125
#14,2020.7.30 17:33,37.188
#14,2020.7.30 17:43,37.375
#14,2020.7.30 17:53,37.375
#14,2020.7.30 18:03,37.375
#14,2020.7.30 18:13,37.438
#14,2020.7.30 18:23,37.438
#14,2020.7.30 18:33,37.25
#14,2020.7.30 18:43,37.188
#14,2020.7.30 18:53,37.562
#14,2020.7.30 19:03,37.438
#14,2020.7.30 19:13,37.375
#14,2020.7.30 19:23,37.312
#14,2020.7.30 19:33,37.312
#14,2020.7.30 19:43,37.375
#14,2020.7.30 19:53,37.812
#14,2020.7.30 20:03,37.938
#14,2020.7.30 20:13,37.938
#14,2020.7.30 20:23,37.75
#14,2020.7.30 20:33,38.25
#14,2020.7.30 20:43,38.438
#14,2020.7.30 20:53,38.312
#14,2020.7.30 21:03,38.062
#14,2020.7.30 21:13,38.125
#14,2020.7.30 21:23,37.938
#14,2020.7.30 21:33,37.75
#14,2020.7.30 21:43,37.625
#14,2020.7.30 21:53,37.625
#14,2020.7.30 22:03,37.688
#14,2020.7.30 22:13,37.438
#14,2020.7.30 22:23,37.688
#14,2020.7.30 22:33,38.0
#14,2020.7.30 22:43,37.938
#14,2020.7.30 22:53,37.875
#14,2020.7.30 23:03,37.938
#14,2020.7.30 23:13,37.875
#14,2020.7.30 23:23,37.625
#14,2020.7.30 23:33,38.062
#14,2020.7.30 23:43,38.062
#14,2020.7.30 23:53,38.125
#14,2020.7.31 0:03,38.0
#14,2020.7.31 0:13,38.188
#14,2020.7.31 0:23,38.25
#14,2020.7.31 0:33,38.125
#14,2020.7.31 0:43,38.0
#14,2020.7.31 0:53,38.188
#14,2020.7.31 1:03,38.062
#14,2020.7.31 1:13,38.0
#14,2020.7.31 1:23,37.75
#14,2020.7.31 1:33,37.75
#14,2020.7.31 1:43,37.688
#14,2020.7.31 1:53,37.438
#14,2020.7.31 2:03,37.5
#14,2020.7.31 2:13,37.5
#14,2020.7.31 2:23,37.75
#14,2020.7.31 2:33,37.562
#14,2020.7.31 2:43,38.188
#14,2020.7.31 2:53,38.062
#14,2020.7.31 3:03,38.062
#14,2020.7.31 3:13,37.938
#14,2020.7.31 3:23,37.812
#14,2020.7.31 3:33,37.938
#14,2020.7.31 3:43,37.875
#14,2020.7.31 3:53,37.875
#14,2020.7.31 4:03,38.375
#14,2020.7.31 4:13,38.25
#14,2020.7.31 4:23,38.25
#14,2020.7.31 4:33,38.188
#14,2020.7.31 4:43,38.125
#14,2020.7.31 4:53,38.125
#14,2020.7.31 5:03,37.812
#14,2020.7.31 5:13,37.75
#14,2020.7.31 5:23,37.812
#14,2020.7.31 5:33,37.875
#14,2020.7.31 5:43,37.688
#14,2020.7.31 5:53,37.312
#14,2020.7.31 6:03,37.5
#14,2020.7.31 6:13,37.25
#14,2020.7.31 6:23,37.188
#14,2020.7.31 6:33,37.438
#14,2020.7.31 6:43,37.438
#14,2020.7.31 6:53,37.312
#14,2020.7.31 7:03,37.375
#14,2020.7.31 7:13,37.312
#14,2020.7.31 7:23,37.312
