Time,Value,Hamster_ID
2015-05-31 19:01:01,37.768,#1
2015-05-31 20:31:01,37.892,#1
2015-05-31 22:01:01,37.83,#1
2015-05-31 23:31:01,37.768,#1
2015-06-01 01:01:01,37.456,#1
2015-06-01 02:31:01,37.27,#1
2015-06-01 04:01:01,36.709,#1
2015-06-01 05:31:01,37.02,#1
2015-06-01 07:01:01,36.896,#1
2015-06-01 08:31:01,37.083,#1
2015-06-01 10:01:01,37.083,#1
2015-06-01 11:31:01,37.207,#1
2015-06-01 13:01:01,36.834,#1
2015-06-01 14:31:01,37.02,#1
2015-06-01 16:01:01,37.27,#1
2015-06-01 17:31:01,37.083,#1
2015-06-01 19:01:01,37.02,#1
2015-06-01 20:31:01,37.83,#1
2015-06-01 22:01:01,38.141,#1
2015-06-01 23:31:01,38.266,#1
2015-06-02 01:01:01,37.892,#1
2015-06-02 02:31:01,37.83,#1
2015-06-02 04:01:01,37.394,#1
2015-06-02 05:31:01,37.394,#1
2015-06-02 07:01:01,36.834,#1
2015-06-02 08:31:01,37.083,#1
2015-06-02 10:01:01,37.145,#1
2015-06-02 11:31:01,36.834,#1
2015-06-02 13:01:01,37.207,#1
2015-06-02 14:31:01,37.768,#1
2015-06-02 16:01:01,37.394,#1
2015-06-02 17:31:01,37.332,#1
2015-06-02 19:01:01,37.207,#1
2015-06-02 20:31:01,38.141,#1
2015-06-02 22:01:01,38.017,#1
2015-06-02 23:31:01,38.141,#1
2015-06-03 01:01:01,37.892,#1
2015-06-03 02:31:01,37.394,#1
2015-06-03 04:01:01,37.27,#1
2015-06-03 05:31:01,37.083,#1
2015-06-03 07:01:01,37.332,#1
2015-06-03 08:31:01,37.02,#1
2015-06-03 10:01:01,37.145,#1
2015-06-03 11:31:01,37.207,#1
2015-06-03 13:01:01,37.083,#1
2015-06-03 14:31:01,37.519,#1
2015-06-03 16:01:01,37.207,#1
2015-06-03 17:31:01,37.145,#1
2015-06-03 19:01:01,37.643,#1
2015-06-03 20:31:01,38.017,#1
2015-06-03 22:01:01,38.079,#1
2015-06-03 23:31:01,37.207,#1
2015-06-04 01:01:01,37.892,#1
2015-06-04 02:31:01,37.332,#1
2015-06-04 04:01:01,37.207,#1
2015-06-04 05:31:01,36.958,#1
2015-06-04 07:01:01,37.394,#1
2015-06-04 08:31:01,37.02,#1
2015-06-04 10:01:01,36.584,#1
2015-06-04 11:31:01,37.145,#1
2015-06-04 13:01:01,37.145,#1
2015-06-04 14:31:01,37.83,#1
2015-06-04 16:01:01,36.896,#1
2015-06-04 17:31:01,37.02,#1
2015-06-04 19:01:01,37.207,#1
2015-06-04 20:31:01,37.394,#1
2015-06-04 22:01:01,38.017,#1
2015-06-04 23:31:01,37.705,#1
2015-06-05 01:01:01,37.705,#1
2015-06-05 02:31:01,36.771,#1
2015-06-05 04:01:01,37.27,#1
2015-06-05 05:31:01,36.148,#1
2015-06-05 07:01:01,37.02,#1
2015-06-05 08:31:01,37.456,#1
2015-06-05 10:01:01,37.02,#1
2015-06-05 11:31:01,37.02,#1
2015-06-05 13:01:01,36.709,#1
2015-06-05 14:31:01,37.02,#1
2015-06-05 16:01:01,37.083,#1
2015-06-05 17:31:01,37.519,#1
2015-06-05 19:01:01,36.46,#1
2015-06-05 20:31:01,37.332,#1
2015-06-05 22:01:01,37.145,#1
2015-06-05 23:31:01,37.207,#1
2015-06-06 01:01:01,36.709,#1
2015-06-06 02:31:01,37.083,#1
2015-06-06 04:01:01,36.584,#1
2015-06-06 05:31:01,36.46,#1
2015-06-06 07:01:01,36.958,#1
2015-06-06 08:31:01,36.771,#1
2015-06-06 10:01:01,36.647,#1
2015-06-06 11:31:01,36.647,#1
2015-06-06 13:01:01,36.896,#1
2015-06-06 14:31:01,36.896,#1
2015-06-06 16:01:01,37.207,#1
2015-06-06 17:31:01,36.46,#1
2015-06-06 19:01:01,36.647,#1
2015-06-06 20:31:01,37.083,#1
2015-06-06 22:01:01,36.958,#1
2015-06-06 23:31:01,37.083,#1
2015-06-07 01:01:01,37.207,#1
2015-06-07 02:31:01,37.207,#1
2015-06-07 04:01:01,37.332,#1
2015-06-07 05:31:01,37.145,#1
2015-06-07 07:01:01,36.148,#1
2015-06-07 08:31:01,36.024,#1
2015-06-07 10:01:01,36.398,#1
2015-06-07 11:31:01,36.398,#1
2015-06-07 13:01:01,36.398,#1
2015-06-07 14:31:01,36.335,#1
2015-06-07 16:01:01,36.522,#1
2015-06-07 17:31:01,36.398,#1
2015-06-07 19:01:01,36.522,#1
2015-06-07 20:31:01,36.958,#1
2015-06-07 22:01:01,37.145,#1
2015-06-07 23:31:01,36.709,#1
2015-06-08 01:01:01,36.709,#1
2015-06-08 02:31:01,36.709,#1
2015-06-08 04:01:01,36.958,#1
2015-06-08 05:31:01,36.46,#1
2015-06-08 07:01:01,36.148,#1
2015-06-08 08:31:01,35.525,#1
2015-06-08 10:01:01,35.712,#1
2015-06-08 11:31:01,36.398,#1
2015-06-08 13:01:01,36.46,#1
2015-06-08 14:31:01,36.086,#1
2015-06-08 16:01:01,36.086,#1
2015-06-08 17:31:01,36.086,#1
2015-06-08 19:01:01,36.398,#1
2015-06-08 20:31:01,36.273,#1
2015-06-08 22:01:01,36.211,#1
2015-06-08 23:31:01,36.273,#1
2015-06-09 01:01:01,36.024,#1
2015-06-09 02:31:01,36.584,#1
2015-06-09 04:01:01,36.584,#1
2015-06-09 05:31:01,36.273,#1
2015-06-09 07:01:01,35.525,#1
2015-06-09 08:31:01,35.401,#1
2015-06-09 10:01:01,35.837,#1
2015-06-09 11:31:01,35.775,#1
2015-06-09 13:01:01,36.024,#1
2015-06-09 14:31:01,35.338,#1
2015-06-09 16:01:01,35.712,#1
2015-06-09 17:31:01,36.024,#1
2015-06-09 19:01:01,35.961,#1
2015-06-09 20:31:01,36.211,#1
2015-06-09 22:01:01,36.584,#1
2015-06-09 23:31:01,36.148,#1
2015-06-10 01:01:01,36.522,#1
2015-06-10 02:31:01,36.148,#1
2015-06-10 04:01:01,36.273,#1
2015-06-10 05:31:01,36.709,#1
2015-06-10 07:01:01,35.712,#1
2015-06-10 08:31:01,35.837,#1
2015-06-10 10:01:01,35.65,#1
2015-06-10 11:31:01,35.338,#1
2015-06-10 13:01:01,36.086,#1
2015-06-10 14:31:01,35.899,#1
