order,first_criterion,rule,tmax,window_days,alpha,base,slope,high,low_all,sum,gap,good_area,sum_ge_110_cells,fallback_high,fallback_low_all,fallback_total
fallback_low > sum_high > gap_low > good_area_high,fallback_low,continuation_2,60,25,0.02,0.65,0.0045,60.0,56.52173913043478,116.52173913043478,3.4782608695652186,2,3,0.0,0.0,0.0
fallback_low > sum_high > good_area_high > gap_low,fallback_low,continuation_2,60,25,0.02,0.65,0.0045,60.0,56.52173913043478,116.52173913043478,3.4782608695652186,2,3,0.0,0.0,0.0
fallback_low > gap_low > sum_high > good_area_high,fallback_low,continuation_2,60,15,0.15,0.15,0.009,40.0,39.130434782608695,79.13043478260869,0.8695652173913047,0,0,0.0,0.0,0.0
fallback_low > gap_low > good_area_high > sum_high,fallback_low,continuation_2,60,15,0.15,0.15,0.009,40.0,39.130434782608695,79.13043478260869,0.8695652173913047,0,0,0.0,0.0,0.0
fallback_low > good_area_high > sum_high > gap_low,fallback_low,continuation_2,60,25,0.02,0.65,0.0045,60.0,56.52173913043478,116.52173913043478,3.4782608695652186,2,3,0.0,0.0,0.0
fallback_low > good_area_high > gap_low > sum_high,fallback_low,continuation_2,60,25,0.02,0.65,0.0045,60.0,56.52173913043478,116.52173913043478,3.4782608695652186,2,3,0.0,0.0,0.0
sum_high > fallback_low > gap_low > good_area_high,sum_high,continuation_3,45,15,0.01,0.75,0.003,60.0,60.869565217391305,120.86956521739131,0.8695652173913047,4,4,10.0,17.391304347826086,27.391304347826086
sum_high > fallback_low > good_area_high > gap_low,sum_high,continuation_3,45,15,0.01,0.75,0.003,60.0,60.869565217391305,120.86956521739131,0.8695652173913047,4,4,10.0,17.391304347826086,27.391304347826086
sum_high > gap_low > fallback_low > good_area_high,sum_high,continuation_3,45,15,0.01,0.75,0.003,60.0,60.869565217391305,120.86956521739131,0.8695652173913047,4,4,10.0,17.391304347826086,27.391304347826086
sum_high > gap_low > good_area_high > fallback_low,sum_high,continuation_3,45,15,0.01,0.75,0.003,60.0,60.869565217391305,120.86956521739131,0.8695652173913047,4,4,10.0,17.391304347826086,27.391304347826086
sum_high > good_area_high > fallback_low > gap_low,sum_high,continuation_3,45,15,0.01,0.75,0.003,60.0,60.869565217391305,120.86956521739131,0.8695652173913047,4,4,10.0,17.391304347826086,27.391304347826086
sum_high > good_area_high > gap_low > fallback_low,sum_high,continuation_3,45,15,0.01,0.75,0.003,60.0,60.869565217391305,120.86956521739131,0.8695652173913047,4,4,10.0,17.391304347826086,27.391304347826086
gap_low > fallback_low > sum_high > good_area_high,gap_low,continuation_2,60,15,0.15,0.15,0.009,40.0,39.130434782608695,79.13043478260869,0.8695652173913047,0,0,0.0,0.0,0.0
gap_low > fallback_low > good_area_high > sum_high,gap_low,continuation_2,60,15,0.15,0.15,0.009,40.0,39.130434782608695,79.13043478260869,0.8695652173913047,0,0,0.0,0.0,0.0
gap_low > sum_high > fallback_low > good_area_high,gap_low,continuation_3,45,15,0.01,0.75,0.003,60.0,60.869565217391305,120.86956521739131,0.8695652173913047,4,4,10.0,17.391304347826086,27.391304347826086
gap_low > sum_high > good_area_high > fallback_low,gap_low,continuation_3,45,15,0.01,0.75,0.003,60.0,60.869565217391305,120.86956521739131,0.8695652173913047,4,4,10.0,17.391304347826086,27.391304347826086
gap_low > good_area_high > fallback_low > sum_high,gap_low,continuation_3,45,15,0.01,0.75,0.003,60.0,60.869565217391305,120.86956521739131,0.8695652173913047,4,4,10.0,17.391304347826086,27.391304347826086
gap_low > good_area_high > sum_high > fallback_low,gap_low,continuation_3,45,15,0.01,0.75,0.003,60.0,60.869565217391305,120.86956521739131,0.8695652173913047,4,4,10.0,17.391304347826086,27.391304347826086
good_area_high > fallback_low > sum_high > gap_low,good_area_high,continuation_2,45,15,0.01,0.75,0.003,60.0,56.52173913043478,116.52173913043478,3.4782608695652186,5,5,0.0,8.695652173913043,8.695652173913043
good_area_high > fallback_low > gap_low > sum_high,good_area_high,continuation_2,45,15,0.01,0.75,0.003,60.0,56.52173913043478,116.52173913043478,3.4782608695652186,5,5,0.0,8.695652173913043,8.695652173913043
good_area_high > sum_high > fallback_low > gap_low,good_area_high,continuation_2,45,15,0.01,0.75,0.003,60.0,56.52173913043478,116.52173913043478,3.4782608695652186,5,5,0.0,8.695652173913043,8.695652173913043
good_area_high > sum_high > gap_low > fallback_low,good_area_high,continuation_2,45,15,0.01,0.75,0.003,60.0,56.52173913043478,116.52173913043478,3.4782608695652186,5,5,0.0,8.695652173913043,8.695652173913043
good_area_high > gap_low > fallback_low > sum_high,good_area_high,continuation_2,45,15,0.01,0.75,0.003,60.0,56.52173913043478,116.52173913043478,3.4782608695652186,5,5,0.0,8.695652173913043,8.695652173913043
good_area_high > gap_low > sum_high > fallback_low,good_area_high,continuation_2,45,15,0.01,0.75,0.003,60.0,56.52173913043478,116.52173913043478,3.4782608695652186,5,5,0.0,8.695652173913043,8.695652173913043
