cohort,hamster_id,selected_transient_days,selected_log_tol,base_threshold,slope,first_drop_day,success
high,#14,21,-1.7,0.75,0.003,,False
high,#15,29,-1.8,0.75,0.003,-3.5416666666666665,True
high,#16,14,-1.8,0.75,0.003,-12.375,True
high,#17,19,-1.95,0.75,0.003,-32.53472222222222,False
high,#18,45,-1.8,0.75,0.003,-5.881944444444445,True
high,#20,8,-2.0,0.75,0.003,-56.78472222222222,False
high,#21,22,-2.0,0.75,0.003,-48.50694444444444,False
high,#23,28,-1.65,0.75,0.003,-0.013888888888888888,True
high,#24,13,-1.85,0.75,0.003,-8.909722222222221,True
high,#25,18,-1.85,0.75,0.003,-8.63888888888889,True
low_all,#1,34,-1.85,0.75,0.003,-8.645833333333334,True
low_all,#2,29,-1.85,0.75,0.003,,False
low_all,#3,12,-2.1,0.75,0.003,-62.9375,False
low_all,#4,15,-1.9,0.75,0.003,-9.6875,True
low_all,#5,45,-1.9,0.75,0.003,-28.416666666666668,False
low_all,#6,45,-1.85,0.75,0.003,-0.125,True
low_all,#7,14,-2.0,0.75,0.003,-40.770833333333336,False
low_all,#8,33,-2.0,0.75,0.003,-0.041666666666666664,True
low_all,#9,10,-1.9,0.75,0.003,-0.4375,True
low_all,#10,12,-2.05,0.75,0.003,-6.229166666666667,True
low_all,#11,18,-1.95,0.75,0.003,-9.458333333333334,True
low_all,#12,38,-2.0,0.75,0.003,-19.770833333333332,False
low_all,#13,34,-2.05,0.75,0.003,-25.770833333333332,False
low_all,#14,17,-2.0,0.75,0.003,-1.4375,True
low_all,#15,3,-2.0,0.75,0.003,-13.833333333333334,True
low_all,#16,21,-1.9,0.75,0.003,-2.0,True
low_all,#17,25,-2.05,0.75,0.003,-31.1875,False
low_all,#18,45,-1.9,0.75,0.003,-5.25,True
low_all,#20,33,-1.85,0.75,0.003,-0.10416666666666667,True
low_all,#21,1,-2.05,0.75,0.003,-17.854166666666668,False
low_all,#23,45,-1.55,0.75,0.003,0.0,True
low_all,#24,23,-1.9,0.75,0.003,-0.041666666666666664,True
low_all,#25,17,-1.8,0.75,0.003,,False
